t_h;X;G;S;A;P
0.0;0.5;2;45;2.8;0
25.0;6.6;0;26;4.2;13.3
26.8;6.8;0;25;3.5;13
28.3;6.3;0;26;3.5;13.9
29.6;6.1;0;25;3.4;13.2
30.9;5.9;0;26;3.7;14.3
32.0;5.5;0;24;3.4;12.8
33.2;5.3;0;24;2.8;12.2
34.2;5.1;0;26;3.6;13.8
35.2;5.0;0;26;3.5;13.6
36.2;4.2;0;25;3.2;12.6
37.1;4.5;0;22;2.7;11.1
37.7;4.3;0;27;3.5;13.3
41.0;5.0;0;25;3.8;16.9
44.0;5.2;0;20;3.2;17.6
47.0;5.6;0;17;3.4;20.7
54.0;6.3;0;13;5.7;28.6
76.5;7.6;0;3;3.4;39.0

